event,timestamp,renko_signal,side,live_price,ml_label,ml_conf,ml_hold_prob,ml_buy_prob,ml_sell_prob,skip_reason,capital,open_positions
TRADE_CLOSED,2026-04-10 10:51:59 UTC,BUY,71800.01,71841.3261,71755.8548,71841.3261,2.155827,89.0704,TP,BUY,0.8443,0.1334,0.8443,0.0223,1,18,9608.16
TRADE_CLOSED,2026-04-10 10:51:59 UTC,BUY,71810.01,71844.2191,71758.7478,71844.2191,1.856941,63.5243,TP,BUY,0.8441,0.1336,0.8441,0.0223,1,19,9671.69
SIGNAL_FIRED,2026-04-10 11:37:59 UTC,1,BUY,72222.64,BUY,0.9628,0.0349,0.9628,0.0022,NONE,9671.69,0
TRADE_OPENED,2026-04-10 11:37:59 UTC,BUY,72222.64,72166.3982,72295.3403,1.719663,BUY,0.9628,0.0349,0.9628,0.0022,1,20,9671.69
SIGNAL_FIRED,2026-04-10 11:38:59 UTC,1,BUY,72205.37,BUY,0.9658,0.032,0.9658,0.0022,NONE,9671.69,1
TRADE_OPENED,2026-04-10 11:38:59 UTC,BUY,72205.37,72163.883,72292.8252,2.33126,BUY,0.9658,0.032,0.9658,0.0022,1,21,9671.69
SIGNAL_SKIPPED,2026-04-10 11:40:59 UTC,1,BUY,72254.32,BUY,0.9628,0.0349,0.9628,0.0022,MAX_POSITIONS_REACHED,9671.69,2
SIGNAL_SKIPPED,2026-04-10 11:43:59 UTC,1,BUY,72213.02,BUY,0.9628,0.0349,0.9628,0.0022,MAX_POSITIONS_REACHED,9671.69,2
TRADE_CLOSED,2026-04-10 11:45:59 UTC,BUY,72222.64,72166.3982,72166.3982,72295.3403,1.719663,-96.7169,SL,BUY,0.9628,0.0349,0.9628,0.0022,1,20,9574.97
TRADE_CLOSED,2026-04-10 11:45:59 UTC,BUY,72205.37,72163.883,72163.883,72292.8252,2.33126,-96.717,SL,BUY,0.9658,0.032,0.9658,0.0022,1,21,9478.25
SIGNAL_FIRED,2026-04-10 11:47:59 UTC,1,BUY,72167.99,BUY,0.8754,0.1108,0.8754,0.0138,NONE,9478.25,0
TRADE_OPENED,2026-04-10 11:47:59 UTC,BUY,72167.99,72108.1961,72278.5394,1.585154,BUY,0.8754,0.1108,0.8754,0.0138,1,22,9478.25
TRADE_CLOSED,2026-04-10 11:57:59 UTC,BUY,72167.99,72108.1961,72108.1961,72278.5394,1.585154,-94.7825,SL,BUY,0.8754,0.1108,0.8754,0.0138,1,22,9383.47
SIGNAL_FIRED,2026-04-10 12:04:59 UTC,1,BUY,72178.93,BUY,0.9596,0.0377,0.9596,0.0027,NONE,9383.47,0
TRADE_OPENED,2026-04-10 12:04:59 UTC,BUY,72178.93,72117.0378,72250.0596,1.516099,BUY,0.9596,0.0377,0.9596,0.0027,1,23,9383.47
SIGNAL_FIRED,2026-04-10 12:07:59 UTC,1,BUY,72131.83,BUY,0.9626,0.0347,0.9626,0.0027,NONE,9383.47,1
TRADE_OPENED,2026-04-10 12:07:59 UTC,BUY,72131.83,72117.7847,72250.8065,6.680855,BUY,0.9626,0.0347,0.9626,0.0027,1,24,9383.47
TRADE_CLOSED,2026-04-10 12:12:59 UTC,BUY,72178.93,72117.0378,72117.0378,72250.0596,1.516099,-93.8347,SL,BUY,0.9596,0.0377,0.9596,0.0027,1,23,9289.64
TRADE_CLOSED,2026-04-10 12:12:59 UTC,BUY,72131.83,72117.7847,72117.7847,72250.8065,6.680855,-93.8346,SL,BUY,0.9626,0.0347,0.9626,0.0027,1,24,9195.8
SIGNAL_SKIPPED,2026-04-10 12:12:59 UTC,-1,SELL,72111.81,SELL,0.5845,0.3881,0.0274,0.5845,LOW_CONFIDENCE,9195.8,0
SIGNAL_FIRED,2026-04-10 12:13:59 UTC,-1,SELL,72100.01,SELL,0.6921,0.2863,0.0216,0.6921,NONE,9195.8,0
TRADE_OPENED,2026-04-10 12:13:59 UTC,SELL,72100.01,72167.8964,72055.7236,1.354588,SELL,0.6921,0.2863,0.0216,0.6921,-1,25,9195.8
SIGNAL_FIRED,2026-04-10 12:15:59 UTC,-1,SELL,72109.99,SELL,0.6376,0.3383,0.0241,0.6376,NONE,9195.8,1
TRADE_OPENED,2026-04-10 12:15:59 UTC,SELL,72109.99,72158.1776,72051.6432,1.908335,SELL,0.6376,0.3383,0.0241,0.6376,-1,26,9195.8
SIGNAL_SKIPPED,2026-04-10 12:16:59 UTC,-1,SELL,72110.0,SELL,0.8866,0.0966,0.0169,0.8866,MAX_POSITIONS_REACHED,9195.8,2
TRADE_CLOSED,2026-04-10 12:18:59 UTC,SELL,72100.01,72167.8964,72167.8964,72055.7236,1.354588,-91.9581,SL,SELL,0.6921,0.2863,0.0216,0.6921,-1,25,9103.84
TRADE_CLOSED,2026-04-10 12:18:59 UTC,SELL,72109.99,72158.1776,72158.1776,72051.6432,1.908335,-91.9581,SL,SELL,0.6376,0.3383,0.0241,0.6376,-1,26,9011.89
SIGNAL_FIRED,2026-04-10 12:20:59 UTC,1,BUY,72193.21,BUY,0.8986,0.0829,0.8986,0.0186,NONE,9011.89,0
